City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Takoradi,GH,80.58,broken clouds,4.8845,-1.7554,Raybow International Hotel
6,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
7,Xuddur,SO,83.55,overcast clouds,4.1213,43.8894,Banjanay Hotel
10,Arraial Do Cabo,BR,75.16,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
11,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
21,Black River,JM,85.33,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
24,Juru,MY,82.38,few clouds,5.312,100.4423,Starway Hotel
27,Angoche,MZ,80.28,clear sky,-16.2325,39.9086,Guest House HESADA
30,Rafaela,AR,75.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
34,Marica,BR,75.15,clear sky,-22.9194,-42.8186,Marica Hills
42,Rawson,AR,79.07,clear sky,-43.3002,-65.1023,Hosteria Sampedro
47,Padang,ID,78.48,heavy intensity rain,-0.9492,100.3543,Mercure Padang
49,Berbera,SO,83.8,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
50,Oriximina,BR,82.24,light rain,-1.7656,-55.8661,Pousada Tia Amélia
57,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Awjilah,LY,84.7,overcast clouds,29.1081,21.2869,المنزل
60,Vilhena,BR,79.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
64,Humaita,BR,88.36,overcast clouds,-7.5061,-63.0208,Corrêa Hotel
74,Macau,MO,75.85,few clouds,22.2006,113.5461,Grand Emperor Hotel
78,Manicore,BR,82.33,overcast clouds,-5.8092,-61.3003,Hotel Durval
80,Sao Felix Do Xingu,BR,79.95,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
88,Mangrol,IN,79.88,clear sky,21.1167,70.1167,Hotel The Royal Honours
90,Bushehr,IR,82.49,clear sky,28.9684,50.8385,Yas Hotel
95,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
97,Seydi,TM,80.04,overcast clouds,39.4816,62.9137,Seydi oteli
100,Port-Gentil,GA,81.25,overcast clouds,-0.7193,8.7815,Fengshui Residence
105,Mitsamiouli,KM,82.89,light rain,-11.3847,43.2844,Foyer ADM
107,Muborak,UZ,76.44,overcast clouds,39.2553,65.1528,Muborak temiryoʻl vakzali
108,Tulum,MX,86.85,broken clouds,20.2167,-87.4667,Kin Ha Tulum
113,Touros,BR,84.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
114,Hambantota,LK,81.21,few clouds,6.1241,81.1185,Bungalow 63
116,Monrovia,LR,80.37,overcast clouds,6.3005,-10.7969,Sunset Inn
117,Dera Bugti,PK,82.99,clear sky,29.0307,69.151,Nawab Bugti House
