City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mar Del Plata,AR,-38.0023,-57.5575,66.22,79,0,15.01,clear sky
1,Cidreira,BR,-30.1811,-50.2056,65.8,65,99,8.52,overcast clouds
2,Pangnirtung,CA,66.1451,-65.7125,-2.2,78,0,2.3,clear sky
3,Jamestown,US,42.097,-79.2353,57.52,37,40,13.8,scattered clouds
4,Anjozorobe,MG,-18.4,47.8667,63.12,93,29,8.32,scattered clouds
5,Punta Arenas,CL,-53.15,-70.9167,51.91,82,75,9.22,broken clouds
6,Bam,IR,29.106,58.357,84.36,18,94,8.75,overcast clouds
7,Carnarvon,AU,-24.8667,113.6333,77.07,65,58,10.36,broken clouds
8,Santa Maria,BR,-29.6842,-53.8069,69.1,52,40,6.91,scattered clouds
9,Qaqortoq,GL,60.7167,-46.0333,29.46,62,61,7.61,broken clouds
10,Taoudenni,ML,22.6783,-3.9836,89.69,9,0,14.07,clear sky
11,Port Alfred,ZA,-33.5906,26.891,56.17,82,93,1.99,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,50.4,78,94,2.24,overcast clouds
13,Dikson,RU,73.5069,80.5464,19.8,95,100,12.33,light snow
14,Bredasdorp,ZA,-34.5322,20.0403,55.67,63,44,7.78,scattered clouds
15,Beisfjord,NO,68.3751,17.5988,39.25,87,100,3.0,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,54.81,62,31,16.4,scattered clouds
17,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,82,0,13.8,clear sky
18,Sao Jose De Piranhas,BR,-7.1206,-38.5019,94.46,35,11,7.7,few clouds
19,Qarqin,AF,37.4185,66.0436,80.87,15,5,5.64,clear sky
20,Loubomo,CG,-4.1997,12.6739,71.65,96,100,1.95,overcast clouds
21,Channel-Port Aux Basques,CA,47.5702,-59.1367,37.9,77,78,15.61,broken clouds
22,Grindavik,IS,63.8424,-22.4338,49.95,93,100,32.21,light intensity drizzle
23,Kalemie,CD,-5.9475,29.1947,71.37,89,99,6.64,moderate rain
24,Coihaique,CL,-45.5752,-72.0662,60.75,59,75,8.05,broken clouds
25,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,75,10.36,light intensity shower rain
26,Salinopolis,BR,-0.6136,-47.3561,81.01,81,100,10.92,overcast clouds
27,Pitimbu,BR,-7.4706,-34.8086,88.39,66,28,7.65,scattered clouds
28,Talnakh,RU,69.4865,88.3972,33.21,92,100,13.73,light snow
29,Mahibadhoo,MV,3.7833,72.9667,84.61,71,89,6.53,overcast clouds
30,The Valley,AI,18.217,-63.0578,84.06,61,40,16.11,scattered clouds
31,Barentu,ER,15.1139,37.5928,89.17,27,57,13.94,broken clouds
32,Bingol,TR,38.8847,40.4939,41.13,72,1,7.05,clear sky
33,Gat,IL,31.61,34.7642,67.41,16,18,7.9,few clouds
34,Iqaluit,CA,63.7506,-68.5145,8.33,60,20,17.27,few clouds
35,Luangwa,ZM,-15.6167,30.4167,79.36,65,93,2.24,overcast clouds
36,Georgetown,MY,5.4112,100.3354,82.35,89,20,0.0,few clouds
37,Quatre Cocos,MU,-20.2078,57.7625,75.31,80,47,19.8,light rain
38,Ponta Do Sol,PT,32.6667,-17.1,72.72,67,66,4.74,broken clouds
39,Raudeberg,NO,61.9875,5.1352,47.86,71,99,16.55,overcast clouds
40,Lokoja,NG,7.8024,6.743,91.74,43,83,4.27,light rain
41,Opuwo,NA,-18.0607,13.84,78.03,36,61,4.05,broken clouds
42,Ostrovnoy,RU,68.0531,39.5131,24.08,93,97,6.4,overcast clouds
43,Hithadhoo,MV,-0.6,73.0833,83.44,65,10,1.83,clear sky
44,Luderitz,NA,-26.6481,15.1594,60.66,69,0,25.64,clear sky
45,Darovskoy,RU,58.77,47.9564,27.79,88,87,8.93,overcast clouds
46,Santa Lucia,ES,27.9117,-15.5407,66.76,60,20,32.21,few clouds
47,Sorland,NO,67.667,12.6934,38.84,68,100,13.04,overcast clouds
48,Salalah,OM,17.0151,54.0924,82.49,83,0,4.61,clear sky
49,Grand Gaube,MU,-20.0064,57.6608,75.6,84,12,5.01,few clouds
50,Lakselv,NO,70.0513,24.9718,39.02,56,100,8.05,overcast clouds
51,Busselton,AU,-33.65,115.3333,58.1,91,18,6.71,few clouds
52,Vinukonda,IN,16.05,79.75,82.62,79,64,7.0,broken clouds
53,Hofn,IS,64.2539,-15.2082,45.41,95,69,3.76,broken clouds
54,Clyde River,CA,70.4692,-68.5914,-0.17,78,0,10.36,clear sky
55,Bengkulu,ID,-3.8004,102.2655,77.54,86,100,3.24,overcast clouds
56,Biltine,TD,14.5333,20.9167,92.05,7,93,3.47,overcast clouds
57,Kibala,TD,9.1104,18.3463,94.95,38,0,0.0,clear sky
58,Lovozero,RU,68.005,35.0117,20.82,91,55,7.0,broken clouds
59,Qaanaaq,GL,77.484,-69.3632,-0.9,90,100,4.09,overcast clouds
60,Maragogi,BR,-9.0122,-35.2225,84.15,66,53,11.59,broken clouds
61,Santarem,BR,-2.4431,-54.7083,84.33,79,40,6.91,scattered clouds
62,Husavik,IS,66.0449,-17.3389,45.63,75,99,13.4,overcast clouds
63,Talcahuano,CL,-36.7167,-73.1167,56.88,72,100,4.61,overcast clouds
64,Vesyegonsk,RU,58.664,37.2604,34.79,96,100,4.32,light snow
65,Parnamirim,BR,-5.9156,-35.2628,89.49,62,20,11.5,few clouds
66,Upernavik,GL,72.7868,-56.1549,-3.91,89,23,12.71,few clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,60,40,18.41,scattered clouds
68,Inirida,CO,3.8653,-67.9239,83.05,74,98,1.83,overcast clouds
69,Sitia,GR,35.2,26.0986,61.99,68,77,3.4,broken clouds
70,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,17.27,broken clouds
71,Nouadhibou,MR,20.931,-17.0347,67.98,68,0,20.71,clear sky
72,Aksu,CN,41.1231,80.2644,63.5,21,6,1.1,clear sky
73,Lebu,CL,-37.6167,-73.65,59.13,71,47,9.89,scattered clouds
74,Bonavista,CA,48.6499,-53.1147,33.22,72,52,6.98,broken clouds
75,Lyndon,US,38.2567,-85.6016,71.2,20,0,14.97,clear sky
76,Ponta Delgada,PT,37.7333,-25.6667,65.12,82,20,12.66,few clouds
77,Khoy,IR,38.5504,44.9535,51.84,26,2,5.35,clear sky
78,Saint-Philippe,RE,-21.3585,55.7679,78.39,84,49,15.23,light rain
79,Honningsvag,NO,70.9821,25.9704,37.15,87,100,24.16,light rain
80,Naryan-Mar,RU,67.6713,53.087,18.88,97,83,5.12,light snow
81,Margate,GB,51.3813,1.3862,55.69,84,93,3.0,overcast clouds
82,Harper,LR,4.375,-7.7169,82.31,76,97,7.99,overcast clouds
83,Sohbatpur,PK,28.5202,68.5434,93.04,5,0,8.01,clear sky
84,Ouango,CF,4.3133,22.5552,73.51,86,65,2.42,broken clouds
85,Kamenica,DE,50.8333,12.9167,47.41,92,100,1.99,overcast clouds
86,Muros,ES,42.7762,-9.0603,74.68,62,63,5.46,broken clouds
87,Pemba,MZ,-12.974,40.5178,83.1,83,40,5.75,scattered clouds
88,Inhambane,MZ,-23.865,35.3833,80.58,94,20,9.22,few clouds
89,Lucapa,AO,-8.4192,20.7447,68.95,91,90,1.34,overcast clouds
90,Hwange,ZW,-18.3693,26.5019,74.8,59,31,2.8,scattered clouds
91,Natal,BR,-5.795,-35.2094,89.82,62,20,11.5,few clouds
92,Asyut,EG,27.181,31.1837,80.78,11,1,11.5,clear sky
93,Hamilton,US,39.1834,-84.5333,70.66,23,0,21.85,clear sky
94,Jaisalmer,IN,26.9147,70.9181,88.77,4,0,1.74,clear sky
95,Korla,CN,41.7597,86.1469,52.47,12,0,3.51,clear sky
