City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,48.18,86,100,12.8,NZ,2022-04-06 04:06:25
1,Punta Arenas,-53.15,-70.9167,37.51,70,0,12.66,CL,2022-04-06 04:06:25
2,Yining,29.0361,114.5636,75.11,47,99,1.05,CN,2022-04-06 04:06:26
3,Haines Junction,60.7522,-137.5108,24.6,81,4,8.16,CA,2022-04-06 04:06:26
4,Ushuaia,-54.8,-68.3,37.06,87,75,21.85,AR,2022-04-06 04:06:27
5,Klaksvik,62.2266,-6.589,32.92,71,100,19.93,FO,2022-04-06 04:06:16
6,Codrington,-38.2667,141.9667,62.4,62,87,11.88,AU,2022-04-06 04:06:27
7,Sinnamary,5.3833,-52.95,76.75,88,92,9.44,GF,2022-04-06 04:06:28
8,Rosaryville,38.7568,-76.8097,54.07,97,75,10.36,US,2022-04-06 04:06:28
9,Victoria,22.2855,114.1577,78.94,63,22,8.01,HK,2022-04-06 04:04:26
10,Neryungri,56.6709,124.6491,14.32,82,100,15.55,RU,2022-04-06 04:06:29
11,Santiago,-33.4569,-70.6483,70.99,39,0,1.61,CL,2022-04-06 04:02:42
12,Bambous Virieux,-20.3428,57.7575,81.21,83,40,11.5,MU,2022-04-06 04:06:29
13,Padang,-0.9492,100.3543,87.85,61,80,6.29,ID,2022-04-06 04:06:30
14,Kapaa,22.0752,-159.319,76.48,76,75,12.66,US,2022-04-06 04:06:30
15,Egvekinot,66.3167,-179.1667,-3.5,88,51,1.77,RU,2022-04-06 04:06:31
16,Zapadnaya Dvina,56.259,32.0745,24.17,90,30,8.25,RU,2022-04-06 04:06:31
17,Rikitea,-23.1203,-134.9692,78.57,68,48,17.34,PF,2022-04-06 04:06:32
18,Butaritari,3.0707,172.7902,81.66,79,100,16.78,KI,2022-04-06 04:06:32
19,Palu,-0.8917,119.8707,89.06,60,64,5.41,ID,2022-04-06 04:06:32
20,Takoradi,4.8845,-1.7554,80.94,84,64,6.89,GH,2022-04-06 04:06:33
21,Mtwara,-10.2667,40.1833,78.03,89,66,4.18,TZ,2022-04-06 04:06:33
22,Cape Town,-33.9258,18.4232,57.34,88,25,3.0,ZA,2022-04-06 04:01:47
23,Tuktoyaktuk,69.4541,-133.0374,-8.43,96,31,7.83,CA,2022-04-06 04:06:34
24,Salinopolis,-0.6136,-47.3561,75.7,91,100,4.83,BR,2022-04-06 04:06:35
25,Hermanus,-34.4187,19.2345,57.79,78,57,15.46,ZA,2022-04-06 04:06:35
26,Lalsk,60.7415,47.5862,27.75,91,100,9.08,RU,2022-04-06 04:06:36
27,Irbeyskoye,55.6428,95.4522,49.15,76,100,7.02,RU,2022-04-06 04:06:37
28,Nikolskoye,59.7035,30.7861,25.81,86,99,9.01,RU,2022-04-06 04:06:37
29,Glenwood Springs,39.5505,-107.3248,38.32,67,100,13.8,US,2022-04-06 04:06:37
30,Xuddur,4.1213,43.8894,72.45,85,1,16.78,SO,2022-04-06 04:06:38
31,Pisco,-13.7,-76.2167,68.05,83,0,5.75,PE,2022-04-06 04:06:38
32,Port Elizabeth,-33.918,25.5701,62.31,73,32,5.01,ZA,2022-04-06 04:06:39
33,Hithadhoo,-0.6,73.0833,82.33,67,8,2.24,MV,2022-04-06 04:06:40
34,Kuito,-12.3833,16.9333,61.18,92,99,1.97,AO,2022-04-06 04:06:41
35,Salme,28.0369,85.0942,71.89,33,16,7.4,NP,2022-04-06 04:06:41
36,Kodiak,57.79,-152.4072,36.91,75,75,0.0,US,2022-04-06 04:06:42
37,Hasaki,35.7333,140.8333,70.29,65,100,17.25,JP,2022-04-06 04:06:42
38,Dongsheng,39.8161,109.9776,57.49,18,10,15.19,CN,2022-04-06 04:06:43
39,Jalu,29.0331,21.5482,82.87,9,22,7.7,LY,2022-04-06 04:06:43
40,Broome,42.2506,-75.833,50.09,63,0,13.8,US,2022-04-06 04:06:43
41,Ilulissat,69.2167,-51.1,24.82,86,100,6.91,GL,2022-04-06 04:06:44
42,Barrow,71.2906,-156.7887,-16.58,69,0,9.22,US,2022-04-06 04:06:44
43,Marzuq,14.4,46.4667,72.48,18,0,2.28,YE,2022-04-06 04:06:45
44,Ribeira Grande,38.5167,-28.7,60.55,88,76,16.11,PT,2022-04-06 04:06:45
45,Nome,64.5011,-165.4064,10.47,67,100,5.75,US,2022-04-06 04:06:46
46,Vaini,-21.2,-175.2,80.76,89,75,4.61,TO,2022-04-06 04:06:46
47,Guerrero Negro,27.9769,-114.0611,60.62,88,3,10.33,MX,2022-04-06 04:06:47
48,Mahebourg,-20.4081,57.7,81.25,83,40,11.5,MU,2022-04-06 04:07:18
49,Payakumbuh,-0.2202,100.6308,88.72,46,76,0.36,ID,2022-04-06 04:07:18
50,Iralaya,15.0,-83.2333,79.95,81,59,12.66,HN,2022-04-06 04:07:19
51,New Norfolk,-42.7826,147.0587,64.65,31,0,2.39,AU,2022-04-06 04:07:19
52,Lebu,-37.6167,-73.65,54.0,93,100,8.48,CL,2022-04-06 04:07:20
53,Yulara,-25.2406,130.9889,85.84,32,9,5.75,AU,2022-04-06 04:07:20
54,Nassau,40.7507,-73.5829,47.79,81,100,6.91,US,2022-04-06 04:07:21
55,Tanout,14.9709,8.8879,78.98,8,90,9.95,NE,2022-04-06 04:07:22
56,Cherskiy,68.75,161.3,0.55,86,75,5.7,RU,2022-04-06 04:07:22
57,Lososina,48.9975,140.3106,37.54,48,92,16.04,RU,2022-04-06 04:07:23
58,Ponta Do Sol,32.6667,-17.1,59.63,64,32,7.56,PT,2022-04-06 04:07:23
59,Storforshei,66.4043,14.5233,18.66,79,75,1.14,NO,2022-04-06 04:07:24
60,Puerto Ayora,-0.7393,-90.3518,77.63,87,42,5.41,EC,2022-04-06 04:07:24
61,Rocha,-34.4833,-54.3333,51.58,70,0,7.0,UY,2022-04-06 04:07:25
62,Mar Del Plata,-38.0023,-57.5575,62.1,70,68,11.99,AR,2022-04-06 04:07:25
